"時点","地域コード","地域","総人口（総数）【人】","注記","完全失業率（男女計）【%】","注記","景気動向指数（一致）2020年基準","注記","国内総生産（支出側）（名目）2020年基準【10億円】","注記","県内総生産（名目）2015年基準【百万円】","注記"
"2007年9月","00000","全国","127997000","","4.0","","121.9","","","","",""
"2007年10月","00000","全国","128033000","","4.0","","122.8","","","","",""
"2007年11月","00000","全国","128047000","","3.7","","121.7","","","","",""
"2007年12月","00000","全国","128050000","","3.5","","121.9","","","","",""
"2008年1月","00000","全国","128026000","","3.9","","121.2","","","","",""
"2008年2月","00000","全国","128020000","","4.1","","121.4","","","","",""
"2008年3月","00000","全国","127992000","","4.1","","120.7","","","","",""
"2008年4月","00000","全国","128013000","","4.1","","119.8","","","","",""
"2008年5月","00000","全国","127999000","","4.0","","120.1","","","","",""
"2008年6月","00000","全国","128032000","","3.9","","117.5","","","","",""
"2008年7月","00000","全国","128063000","","3.8","","117.1","","","","",""
"2008年8月","00000","全国","128075000","","4.1","","113.4","","","","",""
"2008年9月","00000","全国","128043000","","4.1","","112.4","","","","",""
"2008年10月","00000","全国","128084000","","3.8","","108.8","","","","",""
"2008年11月","00000","全国","128098000","","3.9","","102.3","","","","",""
"2008年12月","00000","全国","128099000","","4.1","","96.5","","","","",""
"2009年1月","00000","全国","128069000","","4.2","","88.1","","","","",""
"2009年2月","00000","全国","128048000","","4.6","","83.5","","","","",""
"2009年3月","00000","全国","128013000","","5.1","","83.1","","","","",""
"2009年4月","00000","全国","128022000","","5.2","","84.6","","","","",""
"2009年5月","00000","全国","127996000","","5.2","","86.3","","","","",""
"2009年6月","00000","全国","128026000","","5.2","","87.9","","","","",""
"2009年7月","00000","全国","128047000","","5.4","","88.8","","","","",""
"2009年8月","00000","全国","128040000","","5.4","","90.7","","","","",""
"2009年9月","00000","全国","128002000","","5.5","","93.2","","","","",""
"2009年10月","00000","全国","128032000","","5.2","","95.3","","","","",""
"2009年11月","00000","全国","128055000","","5.0","","97.1","","","","",""
"2009年12月","00000","全国","128059000","","4.8","","98.7","","","","",""
"2010年1月","00000","全国","128032000","","4.9","","101.8","","","","",""
"2010年2月","00000","全国","128052000","","5.0","","102.5","","","","",""
"2010年3月","00000","全国","128003000","","5.3","","103.9","","","","",""
"2010年4月","00000","全国","128032000","","5.4","","105.0","","","","",""
"2010年5月","00000","全国","128011000","","5.2","","104.6","","","","",""
"2010年6月","00000","全国","128041000","","5.2","","105.2","","","","",""
"2010年7月","00000","全国","128070000","","5.0","","105.9","","","","",""
"2010年8月","00000","全国","128069000","","5.1","","106.1","","","","",""
"2010年9月","00000","全国","128028000","","5.1","","106.9","","","","",""
"2010年10月","00000","全国","128057352","総務省統計局「国勢調査」による。","5.0","","106.4","","","","",""
"2010年11月","00000","全国","128066000","","4.8","","108.4","","","","",""
"2010年12月","00000","全国","128058000","","4.6","","108.7","","","","",""
