"時点","地域コード","地域","完全失業率（男女計）【%】","注記","日経平均株価【円】","注記","消費者物価指数（総合）2020年基準","注記","景気動向指数（先行）2020年基準","注記"
"2018年7-9月期","00000","全国","2.5","","","","99.6","","",""
"2018年10-12月期","00000","全国","2.4","","","","99.9","","",""
"2019年1-3月期","00000","全国","2.4","","","","99.7","","",""
"2019年4-6月期","00000","全国","2.4","","","","99.9","","",""
"2019年7-9月期","00000","全国","2.3","","","","100.0","","",""
"2019年10-12月期","00000","全国","2.2","","","","100.5","","",""
"2020年1-3月期","00000","全国","2.4","","","","100.4","","",""
"2020年4-6月期","00000","全国","2.8","","","","100.1","","",""
"2020年7-9月期","00000","全国","3.0","","","","100.0","","",""
"2020年10-12月期","00000","全国","2.9","","","","99.6","","",""
"2021年1-3月期","00000","全国","2.8","","","","99.8","","",""
"2021年4-6月期","00000","全国","3.0","","","","99.3","","",""
"2021年7-9月期","00000","全国","2.8","","","","99.8","","",""
"2021年10-12月期","00000","全国","2.6","","","","100.0","","",""
"2022年1-3月期","00000","全国","2.7","","","","100.7","","",""
"2022年4-6月期","00000","全国","2.7","","","","101.7","","",""
"2022年7-9月期","00000","全国","2.6","","","","102.7","","",""
"2022年10-12月期","00000","全国","2.4","","","","103.9","","",""
"2023年1-3月期","00000","全国","2.6","","","","104.4","","",""
"2023年4-6月期","00000","全国","2.7","","","","105.1","","",""
"2023年7-9月期","00000","全国","2.6","","","","105.9","","",""
"2023年10-12月期","00000","全国","2.4","","","","106.9","","",""
"2024年1-3月期","00000","全国","2.5","","","","107.0","","",""
"2024年4-6月期","00000","全国","2.7","","","","108.0","","",""
"2024年7-9月期","00000","全国","2.6","","","","108.9","","",""
"2024年10-12月期","00000","全国","2.3","","","","110.1","","",""
"2025年1-3月期","00000","全国","2.4","","","","111.0","","",""
"2025年4-6月期","00000","全国","2.6","","","","111.7","","",""
"2025年7-9月期","00000","全国","2.5","","","","112.0","","",""
"2025年10-12月期","00000","全国","2.5","","","","113.0","","",""
"2000年","00000","全国","4.7","","","","97.3","","",""
"2001年","00000","全国","5.0","","","","96.7","","",""
"2002年","00000","全国","5.4","","","","95.8","","",""
"2003年","00000","全国","5.3","","","","95.5","","",""
"2004年","00000","全国","4.7","","","","95.5","","",""
"2005年","00000","全国","4.4","","","","95.2","","",""
"2006年","00000","全国","4.1","","","","95.5","","",""
"2007年","00000","全国","3.9","","","","95.5","","",""
"2008年","00000","全国","4.0","","","","96.8","","",""
"2009年","00000","全国","5.1","","","","95.5","","",""
"2010年","00000","全国","5.1","","","","94.8","","",""
"2011年","00000","全国","4.6","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","94.5","","",""
"2012年","00000","全国","4.3","","","","94.5","","",""
"2013年","00000","全国","4.0","","","","94.9","","",""
"2014年","00000","全国","3.6","","","","97.5","","",""
"2015年","00000","全国","3.4","","","","98.2","","",""
"2016年","00000","全国","3.1","","","","98.1","","",""
"2017年","00000","全国","2.8","","","","98.6","","",""
"2018年","00000","全国","2.4","","","","99.5","","",""
"2019年","00000","全国","2.4","","","","100.0","","",""
"2020年","00000","全国","2.8","","","","100.0","","",""
"2021年","00000","全国","2.8","","","","99.8","","",""
"2022年","00000","全国","2.6","","","","102.3","","",""
"2023年","00000","全国","2.6","","","","105.6","","",""
"2024年","00000","全国","2.5","","","","108.5","","",""
"2025年","00000","全国","2.5","","","","111.9","","",""
"2000年度","00000","全国","4.7","","","","97.2","","",""
"2001年度","00000","全国","5.2","","","","96.3","","",""
"2002年度","00000","全国","5.4","","","","95.7","","",""
"2003年度","00000","全国","5.1","","","","95.5","","",""
"2004年度","00000","全国","4.6","","","","95.4","","",""
"2005年度","00000","全国","4.3","","","","95.2","","",""
"2006年度","00000","全国","4.1","","","","95.4","","",""
"2007年度","00000","全国","3.8","","","","95.8","","",""
"2008年度","00000","全国","4.1","","","","96.8","","",""
"2009年度","00000","全国","5.2","","","","95.2","","",""
"2010年度","00000","全国","4.9","","","","94.7","","",""
"2011年度","00000","全国","4.5","","","","94.6","","",""
"2012年度","00000","全国","4.3","","","","94.4","","",""
"2013年度","00000","全国","3.9","","","","95.2","","",""
"2014年度","00000","全国","3.5","","","","98.0","","",""
"2015年度","00000","全国","3.3","","","","98.2","","",""
"2016年度","00000","全国","3.0","","","","98.2","","",""
"2017年度","00000","全国","2.7","","","","98.9","","",""
"2018年度","00000","全国","2.4","","","","99.6","","",""
"2019年度","00000","全国","2.3","","","","100.1","","",""
"2020年度","00000","全国","2.9","","","","99.9","","",""
"2021年度","00000","全国","2.8","","","","100.0","","",""
"2022年度","00000","全国","2.6","","","","103.2","","",""
"2023年度","00000","全国","2.6","","","","106.3","","",""
"2024年度","00000","全国","2.5","","","","109.5","","",""
