"時点","地域コード","地域","完全失業率（男女計）【%】","注記","日経平均株価【円】","注記","消費者物価指数（総合）2020年基準","注記","景気動向指数（先行）2020年基準","注記"
"2007年6月","00000","全国","3.6","","18138.36","","95.4","","116.9",""
"2007年7月","00000","全国","3.5","","17248.89","","95.3","","116.9",""
"2007年8月","00000","全国","3.7","","16569.09","","95.8","","114.7",""
"2007年9月","00000","全国","4.0","","16785.69","","95.8","","113.7",""
"2007年10月","00000","全国","4.0","","16737.63","","96.0","","115.7",""
"2007年11月","00000","全国","3.7","","15680.67","","95.9","","113.9",""
"2007年12月","00000","全国","3.5","","15307.78","","96.0","","113.3",""
"2008年1月","00000","全国","3.9","","13592.47","","95.9","","113.4",""
"2008年2月","00000","全国","4.1","","13603.02","","95.7","","113.7",""
"2008年3月","00000","全国","4.1","","12525.54","","96.1","","111.3",""
"2008年4月","00000","全国","4.1","","13849.99","","96.0","","111.6",""
"2008年5月","00000","全国","4.0","","14338.54","","96.8","","111.1",""
"2008年6月","00000","全国","3.9","","13481.38","","97.3","","109.8",""
"2008年7月","00000","全国","3.8","","13376.81","","97.5","","108.9",""
"2008年8月","00000","全国","4.1","","13072.87","","97.8","","106.9",""
"2008年9月","00000","全国","4.1","","11259.86","","97.8","","105.6",""
"2008年10月","00000","全国","3.8","","8576.98","","97.7","","99.9",""
"2008年11月","00000","全国","3.9","","8512.27","","96.8","","94.1",""
"2008年12月","00000","全国","4.1","","8859.56","","96.4","","90.6",""
"2009年1月","00000","全国","4.2","","7994.05","","95.9","","84.7",""
"2009年2月","00000","全国","4.6","","7568.42","","95.6","","82.0",""
"2009年3月","00000","全国","5.1","","8109.53","","95.9","","83.6",""
"2009年4月","00000","全国","5.2","","8828.26","","96.0","","87.4",""
"2009年5月","00000","全国","5.2","","9522.50","","95.8","","89.9",""
"2009年6月","00000","全国","5.2","","9958.44","","95.6","","93.5",""
"2009年7月","00000","全国","5.4","","10356.83","","95.3","","95.4",""
"2009年8月","00000","全国","5.4","","10492.53","","95.6","","97.2",""
"2009年9月","00000","全国","5.5","","10133.23","","95.6","","99.8",""
"2009年10月","00000","全国","5.2","","10034.74","","95.2","","102.3",""
"2009年11月","00000","全国","5.0","","9345.55","","95.0","","102.0",""
"2009年12月","00000","全国","4.8","","10546.44","","94.8","","104.1",""
"2010年1月","00000","全国","4.9","","10198.04","","94.9","","105.2",""
"2010年2月","00000","全国","5.0","","10126.03","","94.9","","104.1",""
"2010年3月","00000","全国","5.3","","11089.94","","95.1","","107.8",""
"2010年4月","00000","全国","5.4","","11057.40","","95.1","","109.2",""
"2010年5月","00000","全国","5.2","","9768.70","","95.1","","108.1",""
"2010年6月","00000","全国","5.2","","9382.64","","94.9","","108.5",""
"2010年7月","00000","全国","5.0","","9537.30","","94.4","","108.4",""
"2010年8月","00000","全国","5.1","","8824.06","","94.5","","108.9",""
"2010年9月","00000","全国","5.1","","9369.35","","94.7","","108.2",""
"2010年10月","00000","全国","5.0","","9202.45","","95.0","","107.9",""
"2010年11月","00000","全国","4.8","","9937.04","","94.7","","108.8",""
"2010年12月","00000","全国","4.6","","10228.92","","94.5","","109.4",""
"2011年1月","00000","全国","4.8","","10237.92","","94.4","","110.1",""
"2011年2月","00000","全国","4.6","","10624.09","","94.4","","110.9",""
"2011年3月","00000","全国","4.9","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","9755.10","","94.6","","108.3",""
"2011年4月","00000","全国","5.0","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","9849.74","","94.7","","105.4",""
"2011年5月","00000","全国","4.7","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","9693.73","","94.7","","106.2",""
"2011年6月","00000","全国","4.7","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","9816.09","","94.6","","108.8",""
"2011年7月","00000","全国","4.7","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","9833.03","","94.6","","110.8",""
"2011年8月","00000","全国","4.5","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","8955.20","","94.7","","110.5",""
"2011年9月","00000","全国","4.2","","8700.29","","94.7","","109.0",""
"2011年10月","00000","全国","4.4","","8988.39","","94.8","","109.2",""
"2011年11月","00000","全国","4.3","","8434.61","","94.2","","108.9",""
"2011年12月","00000","全国","4.2","","8455.35","","94.3","","109.4",""
"2012年1月","00000","全国","4.5","","8802.51","","94.5","","110.1",""
"2012年2月","00000","全国","4.4","","9723.24","","94.7","","111.5",""
"2012年3月","00000","全国","4.7","","10083.56","","95.1","","111.6",""
"2012年4月","00000","全国","4.8","","9520.89","","95.2","","110.8",""
"2012年5月","00000","全国","4.5","","8542.73","","94.9","","110.0",""
"2012年6月","00000","全国","4.4","","9006.78","","94.4","","108.4",""
"2012年7月","00000","全国","4.4","","8695.06","","94.1","","107.7",""
"2012年8月","00000","全国","4.2","","8839.91","","94.3","","107.5",""
"2012年9月","00000","全国","4.2","","8870.16","","94.4","","106.4",""
"2012年10月","00000","全国","4.1","","8928.29","","94.4","","106.2",""
"2012年11月","00000","全国","4.0","","9446.01","","94.1","","105.9",""
"2012年12月","00000","全国","4.0","","10395.18","","94.1","","107.0",""
"2013年1月","00000","全国","4.2","","11138.66","","94.2","","109.3",""
"2013年2月","00000","全国","4.2","","11559.36","","94.0","","112.6",""
